"id","dt","isworkday","isholiday"
628,2021-09-19 00:00:00.000,false,false
629,2021-09-20 00:00:00.000,true,false
630,2021-09-21 00:00:00.000,true,false
631,2021-09-22 00:00:00.000,true,false
632,2021-09-23 00:00:00.000,true,false
633,2021-09-24 00:00:00.000,true,false
634,2021-09-25 00:00:00.000,false,false
635,2021-09-26 00:00:00.000,false,false
636,2021-09-27 00:00:00.000,true,false
637,2021-09-28 00:00:00.000,true,false
638,2021-09-29 00:00:00.000,true,false
639,2021-09-30 00:00:00.000,true,false
640,2021-10-01 00:00:00.000,true,false
641,2021-10-02 00:00:00.000,false,false
642,2021-10-03 00:00:00.000,false,false
643,2021-10-04 00:00:00.000,true,false
644,2021-10-05 00:00:00.000,true,false
645,2021-10-06 00:00:00.000,true,false
646,2021-10-07 00:00:00.000,true,false
647,2021-10-08 00:00:00.000,true,false
648,2021-10-09 00:00:00.000,false,false
649,2021-10-10 00:00:00.000,false,false
650,2021-10-11 00:00:00.000,true,false
651,2021-10-12 00:00:00.000,true,false
652,2021-10-13 00:00:00.000,true,false
653,2021-10-14 00:00:00.000,true,false
654,2021-10-15 00:00:00.000,true,false
655,2021-10-16 00:00:00.000,false,false
656,2021-10-17 00:00:00.000,false,false
657,2021-10-18 00:00:00.000,true,false
658,2021-10-19 00:00:00.000,true,false
659,2021-10-20 00:00:00.000,true,false
660,2021-10-21 00:00:00.000,true,false
661,2021-10-22 00:00:00.000,true,false
662,2021-10-23 00:00:00.000,false,false
